"Test Connection","Test Connection"
"Make sure that you have entered the Order Number and phone number (or email address) correctly.","Make sure that you have entered the Order Number and phone number (or email address) correctly."
"g:i a","g:i a"
m/d/Y,m/d/Y
Location,Location
Date,Date
Time,Time
Status,Status
"Tracking Number %1","Tracking Number %1"
"General Information","General Information"
Order:,Order:
"Order Status:","Order Status:"
"Shipment Progress","Shipment Progress"
"Tracking information is not available at this time. Please check back later or double-check the tracking number entered and try again.","Tracking information is not available at this time. Please check back later or double-check the tracking number entered and try again."
"Required Fields","Required Fields"
"Enter Tracking number","Enter Tracking number"
"Postal Services","Postal Services"
Back,Back
Track,Track
"Tracking number is not associated with any order on our store.","Tracking number is not associated with any order on our store."
"Check Order Status","Check Order Status"
"* Required Fields","* Required Fields"
"Please enter the required information below to check your order status.","Please enter the required information below to check your order status."
"Order Number","Order Number"
"Phone number or email address","Phone number or email address"
"Track Order","Track Order"
"Order Status & Shipping Tracking","Order Status & Shipping Tracking"
General,General
"Enable Extension","Enable Extension"
"Serial Key","Serial Key"
Services,Services
"UPS Tracking API","UPS Tracking API"
Enable,Enable
"User ID","User ID"
Password,Password
"API Access Key","API Access Key"
"Sandbox Mode","Sandbox Mode"
"FedEx Tracking API","FedEx Tracking API"
"Account Number","Account Number"
"Meter Number","Meter Number"
Key,Key
"USPS Tracking API","USPS Tracking API"
